ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
112,Kizumonogatari II: Nekketsu-hen,8.56,,Movie,1,1 hr. 4 min.,,Light novel,R - 17+ (violence & profanity),"472,521","2,416"
113,Nana,8.56,,TV,47,22 min. per ep.,Shoujo,Manga,R+ - Mild Nudity,"736,559","33,232"
114,Natsume Yuujinchou Go,8.56,,TV,11,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"199,986",890
115,Natsume Yuujinchou San,8.56,,TV,13,24 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"266,595","1,482"
116,Ookami Kodomo no Ame to Yuki,8.56,,Movie,1,1 hr. 57 min.,,Award Winning,PG-13 - Teens 13 or older,"847,481","11,663"
117,Shingeki no Kyojin,8.56,,TV,25,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"4,187,721","181,352"
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,,Movie,1,1 hr. 26 min.,,Action,R+ - Mild Nudity,"995,176","30,914"
119,[Oshi no Ko] 2nd Season,8.56,,TV,13,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"452,255","5,721"
120,Shouwa Genroku Rakugo Shinjuu,8.55,,TV,13,26 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"305,874","5,905"
121,Slam Dunk,8.55,,TV,101,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"325,167","7,802"
122,Yojouhan Shinwa Taikei,8.55,,TV,11,22 min. per ep.,,Award Winning,R - 17+ (violence & profanity),"477,802","18,834"
123,Haikyuu!! To the Top Part 2,8.55,,TV,12,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"887,146","6,383"
124,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.55,,Movie,1,1 hr. 56 min.,Shounen,Manga,R - 17+ (violence & profanity),"1,680,245","13,404"
125,Kimi no Suizou wo Tabetai,8.55,,Movie,1,1 hr. 48 min.,,Drama,PG-13 - Teens 13 or older,"1,056,826","22,386"
126,Perfect Blue,8.55,,Movie,1,1 hr. 21 min.,,Avant Garde,R+ - Mild Nudity,"774,262","20,772"
127,Jujutsu Kaisen,8.54,,TV,24,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"2,833,536","93,789"
128,Steins;Gate 0,8.54,,TV,23,23 min. per ep.,,Drama,PG-13 - Teens 13 or older,"922,850","12,412"
129,Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.54,,Movie,1,1 hr. 47 min.,,Sports,PG-13 - Teens 13 or older,"17,161",219
130,Fate/Zero 2nd Season,8.54,,TV,12,24 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,165,449","20,603"
131,Fruits Basket 2nd Season,8.53,,TV,25,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"558,495","6,324"
132,Hotaru no Haka,8.53,,Movie,1,1 hr. 28 min.,,Drama,PG-13 - Teens 13 or older,"730,108","8,763"
133,Shingeki no Kyojin Season 2,8.53,,TV,12,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"2,897,930","22,427"
134,Zoku Natsume Yuujinchou,8.53,,TV,13,24 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"260,992","1,484"
135,Samurai Champloo,8.52,,TV,26,24 min. per ep.,,Action,R - 17+ (violence & profanity),"1,307,110","39,849"
